date,exchange_rate
14/03/2015,282.2
17/03/2015,284.48
20/03/2015,262.1
23/03/2015,265.99
26/03/2015,249.23
30/03/2015,242.34
02/04/2015,246.49
05/04/2015,253.67
08/04/2015,253.9
11/04/2015,236
14/04/2015,223.01
17/04/2015,227.5
20/04/2015,222.61
23/04/2015,233.59
26/04/2015,226.29
29/04/2015,225.2
02/05/2015,230.97
05/05/2015,238.25
08/05/2015,237.16
11/05/2015,239.11
14/05/2015,235.97
17/05/2015,236.63
20/05/2015,231.4
23/05/2015,238.8
26/05/2015,235.59
29/05/2015,236.44
01/06/2015,228.34
04/06/2015,225.4
07/06/2015,224.99
10/06/2015,228.88
13/06/2015,229.6
16/06/2015,236
19/06/2015,248.26
22/06/2015,243.55
25/06/2015,240.2
28/06/2015,251.21
01/07/2015,262.43
04/07/2015,256.12
07/07/2015,268.53
10/07/2015,269
13/07/2015,310.55
16/07/2015,285.66
19/07/2015,276.74
22/07/2015,276.76
25/07/2015,289
28/07/2015,293.93
31/07/2015,288.45
03/08/2015,282.26
06/08/2015,281
09/08/2015,262.22
12/08/2015,270.98
15/08/2015,265.93
18/08/2015,256.66
21/08/2015,235.31
24/08/2015,228.14
27/08/2015,225.04
30/08/2015,229.63
02/09/2015,227.97
05/09/2015,230.73
08/09/2015,240.47
11/09/2015,238.81
14/09/2015,230
17/09/2015,228.33
20/09/2015,230.25
23/09/2015,230.42
26/09/2015,235.22
29/09/2015,239.14
02/10/2015,238.03
05/10/2015,238.4
08/10/2015,243.01
11/10/2015,245.72
14/10/2015,249.98
17/10/2015,262.26
20/10/2015,263.59
23/10/2015,274.35
25/10/2015,282.8
28/10/2015,304.79
31/10/2015,310.18
03/11/2015,404.5
06/11/2015,373.69
09/11/2015,380.62
12/11/2015,340.81
15/11/2015,318.97
18/11/2015,333.66
21/11/2015,326.31
24/11/2015,319.64
27/11/2015,358
30/11/2015,377.27
03/12/2015,361.47
06/12/2015,387.3
09/12/2015,416.49
12/12/2015,436.2
15/12/2015,463.98
18/12/2015,463
21/12/2015,438.35
24/12/2015,456
27/12/2015,422.42
30/12/2015,428.23
02/01/2016,432.76
05/01/2016,432.43
08/01/2016,452.64
11/01/2016,447.98
14/01/2016,429.55
17/01/2016,380.16
20/01/2016,420.35
23/01/2016,385.09
26/01/2016,391.66
29/01/2016,378.18
01/02/2016,371.99
04/02/2016,388
07/02/2016,375
10/02/2016,379.14
13/02/2016,389.88
16/02/2016,407
19/02/2016,419.98
22/02/2016,436.76
25/02/2016,423.46
28/02/2016,431.89
02/03/2016,422.5
05/03/2016,399.17
08/03/2016,412.15
11/03/2016,420.11
14/03/2016,414.99
17/03/2016,418.49
20/03/2016,411.81
23/03/2016,417.96
26/03/2016,416.96
30/03/2016,415.83
02/04/2016,416.31
05/04/2016,419.71
08/04/2016,419.95
11/04/2016,420.75
14/04/2016,423.87
17/04/2016,430.58
20/04/2016,435.95
23/04/2016,447.7
26/04/2016,462.5
29/04/2016,449.98
02/05/2016,453
05/05/2016,446.84
08/05/2016,459.02
11/05/2016,450.78
14/05/2016,455.82
17/05/2016,454
20/05/2016,436.05
23/05/2016,438.47
26/05/2016,448.7
29/05/2016,526.64
01/06/2016,531.97
04/06/2016,567.88
07/06/2016,583.72
10/06/2016,574.32
13/06/2016,665.85
16/06/2016,693.88
19/06/2016,751.96
22/06/2016,664.46
25/06/2016,665
28/06/2016,651.85
01/07/2016,667.95
04/07/2016,656.97
07/07/2016,673.76
10/07/2016,647.41
13/07/2016,664.5
16/07/2016,663.19
19/07/2016,673.46
22/07/2016,664
25/07/2016,661.48
28/07/2016,655.37
31/07/2016,654.68
03/08/2016,530.74
06/08/2016,572.72
09/08/2016,591.69
12/08/2016,586.01
15/08/2016,567.34
18/08/2016,570.92
21/08/2016,577.52
24/08/2016,581.98
27/08/2016,577.77
30/08/2016,571.5
02/09/2016,571
05/09/2016,603.95
08/09/2016,615.33
11/09/2016,621.65
14/09/2016,608.82
17/09/2016,607.04
20/09/2016,608.66
23/09/2016,594.08
26/09/2016,598.98
29/09/2016,603.85
02/10/2016,612.98
05/10/2016,607.18
08/10/2016,614.74
11/10/2016,614.77
14/10/2016,634.02
17/10/2016,638.97
20/10/2016,627.72
23/10/2016,653.25
26/10/2016,651.45
29/10/2016,685.91
31/10/2016,697.01
03/11/2016,683.69
06/11/2016,709.96
09/11/2016,721.5
12/11/2016,702.28
15/11/2016,711.73
18/11/2016,748.98
21/11/2016,736.97
24/11/2016,735.64
27/11/2016,727.31
30/11/2016,742.05
03/12/2016,762.97
06/12/2016,758.99
09/12/2016,769.08
12/12/2016,777.99
15/12/2016,775.88
18/12/2016,788.67
21/12/2016,834.97
24/12/2016,892.6
27/12/2016,930.34
30/12/2016,958.12
02/01/2017,1013.42
05/01/2017,999.65
08/01/2017,910.49
11/01/2017,780.92
14/01/2017,819.55
17/01/2017,906.6
20/01/2017,895.64
23/01/2017,919.97
26/01/2017,915.05
29/01/2017,912.19
01/02/2017,983.42
04/02/2017,1034.07
07/02/2017,1052.84
10/02/2017,997.59
13/02/2017,1001.2
16/02/2017,1035.2
19/02/2017,1050.87
22/02/2017,1130.01
25/02/2017,1150.37
28/02/2017,1190.89
03/03/2017,1287
06/03/2017,1279.5
09/03/2017,1192.09
12/03/2017,1227.68
15/03/2017,1257
18/03/2017,967.69
21/03/2017,1113
24/03/2017,927.93
28/03/2017,1041.04
31/03/2017,1034.74
03/04/2017,1079.99
06/04/2017,1133.53
09/04/2017,1184.03
12/04/2017,1219.09
15/04/2017,1170.36
18/04/2017,1176.97
21/04/2017,1236.63
24/04/2017,1240.84
27/04/2017,1288.02
30/04/2017,1333
03/05/2017,1447.55
06/05/2017,1518.75
09/05/2017,1651.1
12/05/2017,1829
15/05/2017,1780
18/05/2017,1783.98
21/05/2017,2008.84
24/05/2017,2256.32
27/05/2017,2279.82
30/05/2017,2290.02
02/06/2017,2409.93
05/06/2017,2529.53
08/06/2017,2683.03
11/06/2017,2898.63
14/06/2017,2706
17/06/2017,2477.94
20/06/2017,2600
23/06/2017,2713.48
26/06/2017,2502.03
29/06/2017,2558.3
02/07/2017,2421.26
05/07/2017,2598.89
08/07/2017,2502.86
11/07/2017,2327.09
14/07/2017,2338.49
17/07/2017,1910.96
20/07/2017,2265.21
23/07/2017,2825.51
26/07/2017,2564.3
29/07/2017,2784.8
01/08/2017,2862.9
04/08/2017,2790
07/08/2017,3210.2
10/08/2017,3340.28
13/08/2017,3868.52
16/08/2017,4179.97
19/08/2017,4104.71
22/08/2017,3986.28
25/08/2017,4331.77
28/08/2017,4339.05
31/08/2017,4582.52
03/09/2017,4585.57
06/09/2017,4385.02
09/09/2017,4312.26
12/09/2017,4198.59
15/09/2017,3216.43
18/09/2017,3678.53
21/09/2017,3894.48
24/09/2017,3777.62
27/09/2017,3881
30/09/2017,4164.27
03/10/2017,4394.07
06/10/2017,4318.58
09/10/2017,4605.66
12/10/2017,4822.17
15/10/2017,5825.99
18/10/2017,5594.66
21/10/2017,5986.44
24/10/2017,5900.59
27/10/2017,5889.82
29/10/2017,6136.49
01/11/2017,6751.98
04/11/2017,7365.99
07/11/2017,7128.64
10/11/2017,6569.22
13/11/2017,6493.63
16/11/2017,7868.77
19/11/2017,8049.72
22/11/2017,8236.72
25/11/2017,8768.8
28/11/2017,9919
01/12/2017,10879.88
04/12/2017,11591.22
07/12/2017,16860.88
10/12/2017,15068.95
13/12/2017,16252.31
16/12/2017,19279.9
19/12/2017,17382.94
22/12/2017,13776.61
25/12/2017,13740.94
28/12/2017,14214.01
31/12/2017,13796
03/01/2018,15039.24
06/01/2018,17155.95
09/01/2018,14437.42
12/01/2018,13791.19
15/01/2018,13554.14
18/01/2018,11174.82
21/01/2018,11513.42
24/01/2018,11392.03
27/01/2018,11431.37
30/01/2018,10082.52
02/02/2018,8852.73
05/02/2018,6925.46
08/02/2018,8245.08
11/02/2018,8068.02
14/02/2018,9471.64
17/02/2018,11085.83
20/02/2018,11245.98
23/02/2018,10171.3
26/02/2018,10319.46
01/03/2018,10931.12
04/03/2018,11516.83
07/03/2018,9920.46
10/03/2018,8777.37
13/03/2018,9153.54
16/03/2018,8297.89
19/03/2018,8605.64
22/03/2018,8725.37
26/03/2018,8457.96
29/03/2018,7950.61
01/04/2018,6937.56
04/04/2018,7426.48
07/04/2018,6634.68
10/04/2018,6784.41
13/04/2018,7941.46
16/04/2018,8368.1
19/04/2018,8175.96
22/04/2018,8930.6
25/04/2018,9658.11
28/04/2018,8928.55
01/05/2018,9239.55
04/05/2018,9753.35
07/05/2018,9631.44
10/05/2018,9310.37
13/05/2018,8463.52
16/05/2018,8471.06
19/05/2018,8239.08
22/05/2018,8396.63
25/05/2018,7576.78
28/05/2018,7344.56
31/05/2018,7386.72
03/06/2018,7637.14
06/06/2018,7619.43
09/06/2018,7615.54
12/06/2018,6879.31
15/06/2018,6637.41
18/06/2018,6445.79
21/06/2018,6760.83
24/06/2018,6170.46
27/06/2018,6097.46
30/06/2018,6223.28
03/07/2018,6626.44
06/07/2018,6555.51
09/07/2018,6724.04
12/07/2018,6403.18
15/07/2018,6248.84
18/07/2018,7321.62
21/07/2018,7334.99
24/07/2018,7715.1
27/07/2018,7939.81
30/07/2018,8220.91
02/08/2018,7607.7
05/08/2018,7011.28
08/08/2018,6718.23
11/08/2018,6138.96
14/08/2018,6252.13
17/08/2018,6312.75
20/08/2018,6486.58
23/08/2018,6354.57
26/08/2018,6738.27
29/08/2018,7078.19
01/09/2018,7018.78
04/09/2018,7265.08
07/09/2018,6501.19
10/09/2018,6240.98
13/09/2018,6326.04
16/09/2018,6522.39
19/09/2018,6342.39
22/09/2018,6756.12
25/09/2018,6583.45
28/09/2018,6686.08
01/10/2018,6611.02
04/10/2018,6483.73
07/10/2018,6573.62
10/10/2018,6626.85
13/10/2018,6247
16/10/2018,6599.17
19/10/2018,6509.61
22/10/2018,6504.78
25/10/2018,6489.77
28/10/2018,6457.21
30/10/2018,6301.61
02/11/2018,6390.42
05/11/2018,6437.76
08/11/2018,6444.97
11/11/2018,6408.53
14/11/2018,5756.77
17/11/2018,5572.44
20/11/2018,4491.98
23/11/2018,4352.98
26/11/2018,3793.35
29/11/2018,4278.77
02/12/2018,4140.6
05/12/2018,3744.98
08/12/2018,3453.66
11/12/2018,3407.28
14/12/2018,3242.42
17/12/2018,3556.54
20/12/2018,4135.19
23/12/2018,3995.17
26/12/2018,3848.21
29/12/2018,3770.36
01/01/2019,3855.88
04/01/2019,3856.62
07/01/2019,4032.25
10/01/2019,3646.25
13/01/2019,3531.96
16/01/2019,3621.43
19/01/2019,3703.98
22/01/2019,3587.35
25/01/2019,3577.79
28/01/2019,3448.58
31/01/2019,3444.81
03/02/2019,3456.02
06/02/2019,3405.7
09/02/2019,3664.38
12/02/2019,3632.42
15/02/2019,3608.2
18/02/2019,3910.8
21/02/2019,3944.88
24/02/2019,3766.89
27/02/2019,3833.23
02/03/2019,3831.44
05/03/2019,3872.25
08/03/2019,3875.96
11/03/2019,3881.09
14/03/2019,3885.21
17/03/2019,3994.92
20/03/2019,4056.4
23/03/2019,4011.92
26/03/2019,3947.74
29/03/2019,4115.55
02/04/2019,4152.53
05/04/2019,4911.24
08/04/2019,5189.39
11/04/2019,5310.18
14/04/2019,5064.62
17/04/2019,5196.65
20/04/2019,5277.04
23/04/2019,5377.19
26/04/2019,5195.61
29/04/2019,5301.29
02/05/2019,5326.67
05/05/2019,5771.08
08/05/2019,5755.72
11/05/2019,6348.02
14/05/2019,7823.11
17/05/2019,7885.96
20/05/2019,8193.7
23/05/2019,7625.93
26/05/2019,8071.45
29/05/2019,8719.88
01/06/2019,8553.81
04/06/2019,8134.92
07/06/2019,7803.23
10/06/2019,7640.61
13/06/2019,8173.06
16/06/2019,8859.47
19/06/2019,9076.18
22/06/2019,10209.38
25/06/2019,11017.5
28/06/2019,11132.85
01/07/2019,10737.73
04/07/2019,11984.76
07/07/2019,11232.04
10/07/2019,12586.78
13/07/2019,11803.97
16/07/2019,10873.5
19/07/2019,10638.56
22/07/2019,10587.41
25/07/2019,9772.17
28/07/2019,9473.99
31/07/2019,9589.13
03/08/2019,10529.55
